2021. 8. 25 오전 7:13:53,95,,,442,1,,,443,1,,,,,444,2,266,1,,,캠퍼스_남자1_셋업코디에 하늘색 포인트,캠퍼스,남,20대,"봄, 가을",256,285600,95
2021. 8. 25 오전 7:37:38,96,,,445,1,448,1,446,1,,,,,447,1,,,,,캠퍼스_남자2_주황색 깔맞춤,캠퍼스,남,20대,가을,131072,522900,96
2021. 8. 25 오전 7:45:11,97,,,449,1,,,450,1,,,,,155,1,,,,,캠퍼스_남자3_레드로 딱,캠퍼스,남,20대,가을,131072,206700,97
2021. 8. 25 오전 8:12:17,98,451,1,452,1,,,453,1,,,,,,,,,454,1,락시크_여자1_가죽&부츠컷 데님,락시크,여,"20대, 30대","봄, 가을, 겨울",64,535500,98
2021. 8. 25 오전 8:28:40,99,456,1,455,1,,,457,1,,,,,458,1,,,,,락시크_남자1,락시크,남,20대,"봄, 가을",4,640800,99
2021. 8. 25 오후 4:06:08,100,,,459,1,,,460,1,,,,,462,1,461,1,,,락시크_남자2,락시크,남,20대,"봄, 여름",4608,743050,100
2021. 8. 25 오후 4:32:14,101,,,463,1,,,464,1,,,,,462,1,465,1,,,락시크_남자3,락시크,남,20대,"봄, 여름",128,521600,101
2021. 8. 25 오후 7:32:48,102,466,1,467,1,,,468,1,,,,,469,1,,,,,락시크_남자4,락시크,남,20대,"봄, 가을",128,811000,102
2021. 8. 30 오전 8:02:37,103,,,470,1,,,,,107,1,,,471,1,203,1,217,2,캠퍼스_여자1,캠퍼스,여,20대,"봄, 여름",256,321800,103
2021. 8. 30 오전 8:22:57,104,,,472,1,,,473,1,,,,,262,2,214,1,,,캠퍼스_여자2,"케쥬얼, 캠퍼스",여,20대,"봄, 여름, 가을",1024,433200,104
2021. 8. 30 오전 8:26:42,105,,,57,2,,,12,1,,,,,160,1,326,1,,,캠퍼스_여자3,"케쥬얼, 캠퍼스",여,20대,"봄, 여름, 가을",262144,523000,105
2021. 8. 30 오전 8:45:47,106,474,1,475,1,,,473,1,,,,,262,2,,,,,캐주얼_여자4_화이트&그린,케쥬얼,여,"20대, 30대","봄, 여름",8,309200,106
2021. 8. 30 오전 8:55:17,107,,,476,1,,,477,1,,,,,154,3,,,240,1,스트릿_남자1_스투시&나일론 코디,스트릿,남,20대,"봄, 여름",262144,443000,107
2021. 8. 30 오전 9:05:10,108,,,479,1,448,1,478,1,,,,,101,1,,,,,스트릿_남자2_노랭이 스웩,스트릿,남,20대,"봄, 여름",262144,176800,108
2021. 8. 30 오전 9:11:36,109,,,480,1,,,478,1,,,,,261,2,202,1,218,1,스트릿_남자3_빨강포인트,스트릿,남,20대,여름,262144,352000,109
2021. 8. 30 오전 9:26:31,110,,,481,1,482,1,,,483,1,,,485,1,484,1,,,페미닌1,페미닌,여,"20대, 30대","봄, 가을",2,773500,110
2021. 8. 30 오전 9:47:53,111,,,486,1,487,1,488,1,,,,,489,1,,,243,1,스트릿_남자4_블랙&화이트,스트릿,남,"20대, 30대","봄, 가을",128,837200,111
2021. 8. 30 오전 10:06:29,112,,,490,1,491,1,492,1,,,,,174,2,493,1,252,1,스트릿_여자1,스트릿,여,20대,"봄, 가을",262144,455900,112
2021. 8. 30 오전 10:35:07,113,,,494,1,,,495,1,,,,,405,1,,,,,스트릿_여자2_크롭티,스트릿,여,20대,여름,16,204800,113
2021. 8. 30 오전 10:44:48,114,,,496,1,,,497,1,,,,,405,1,498,1,221,1,스트릿_여자3_비니,스트릿,여,20대,여름,262144,328800,114
2021. 8. 30 오전 11:15:15,115,499,1,500,1,,,501,1,,,,,503,2,502,1,,,락시크_여자2_청청패션,락시크,여,30대,"봄, 가을",128,636800,115
2021. 8. 30 오전 11:37:19,116,504,1,,,,,,,,,505,1,508,1,506,1,507,1,락시크_여자3_가죽&원피스,락시크,여,20대,"봄, 가을",1,621190,116
2021. 8. 30 오전 11:56:54,117,509,1,448,1,,,191,1,,,,,510,2,,,,,아메카지_남자1,아메카지,남,30대,"봄, 가을",2048,789900,117
2021. 8. 30 오후 12:11:15,118,,,511,1,,,446,1,,,,,512,2,,,,,시티보이_남자1_아임 보이 낫어 맨,시티보이,남,20대,"봄, 가을",131072,241000,118
2021. 8. 30 오후 1:06:37,119,514,1,516,1,,,446,1,,,,,515,2,,,513,1,시티보이_남자2,시티보이,남,20대,"봄, 가을",131072,439000,119
2021. 8. 30 오후 1:43:37,120,,,518,1,,,517,1,,,,,520,2,519,1,,,시티보이_남자3_벌룬팬츠,시티보이,남,20대,여름,262144,228700,120
2021. 8. 30 오후 1:54:30,121,,,521,1,448,1,234,1,,,,,162,2,137,1,235,1,시티보이_남자4,시티보이,남,20대,"봄, 여름",425984,377800,121
2021. 8. 30 오후 2:06:34,122,,,522,1,,,523,1,,,,,260,1,524,1,237,1,아메카지_남자2_밀리터리,아메카지,남,"20대, 30대",여름,2048,397900,122
2021. 8. 30 오후 2:13:56,123,,,525,1,,,526,1,,,,,152,2,212,1,,,아메카지_여자1_베이지톤,아메카지,여,20대,여름,131072,355000,123
2021. 8. 30 오후 2:27:14,124,,,527,1,,,528,1,,,,,175,2,416,1,,,오피스_남자1,오피스,남,30대,"봄, 가을",4096,379230,124
